avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure
207,management,,0.583788885,3,1,medium,0.588420918,7
231,,,0.945419325,3,,low,0.574966534,3
176,support,,0.495462585,5,,medium,0.544170858,5
158,sales,1,0.741468352,3,,low,0.686339585,3
162,marketing,,0.53762948,3,,medium,0.799660405,3
199,marketing,1,0.918943805,5,,low,0.660450366,3
272,product,,0.558984444,5,,low,0.185667399,5
294,IT,,0.923933819,6,,medium,0.103305458,4
262,sales,,0.797970344,4,,low,0.605826345,3
192,IT,,0.90694046,4,,high,0.908266029,4
186,sales,,0.857943909,3,,low,1,2
252,engineering,,0.806722454,5,,medium,0.161221866,4
159,sales,,0.512351472,2,,low,0.455035783,3
167,product,,0.854441264,3,,low,0.598686407,2
156,product,,0.526772407,3,,low,0.845060559,3
185,marketing,,0.507056439,3,,medium,0.645557348,3
232,,,0.587092298,4,,medium,0.97787614,2
166,IT,,0.64183609,3,,high,0.637633972,3
142,,,0.46762869,2,,medium,0.450405645,3
234,sales,,0.723212959,4,,high,0.591793504,3
178,engineering,,,4,,low,1,3
159,sales,,0.448092573,2,,medium,0.274594387,4
136,sales,,0.554090712,2,,low,0.406849064,3
217,engineering,,0.963608678,4,,low,0.899200047,5
152,sales,,0.568209182,2,,low,0.407619707,3
146,engineering,,0.879673566,4,,low,0.818953585,3
168,sales,,0.529252854,6,,low,0.810123379,3
167,sales,,,3,,low,1,2
180,engineering,1,0.478221836,2,,low,0.541971641,5
213,engineering,,0.835778629,3,,high,0.7747544,3
149,sales,,,5,,medium,0.727961821,3
217,management,,0.634460847,5,,high,0.759878252,3
220,IT,,0.651527904,4,,medium,0.775366369,2
138,engineering,1,0.48479569,3,,medium,0.7649322,2
152,sales,,0.904063352,4,,low,0.83500823,7
264,support,,0.904628783,6,,medium,0.092340579,4
156,support,,0.948432527,2,,high,0.811217133,4
144,management,,0.738810617,3,,high,0.883829192,3
136,marketing,,0.868564816,3,,high,0.525972727,3
158,sales,,0.477072418,2,,medium,0.431209728,3
246,product,,0.853570933,4,,medium,0.446308106,2
161,support,1,,5,,low,0.632510481,3
207,support,,0.725146859,3,,medium,0.592476344,2
219,sales,,0.673437559,4,,medium,0.998634725,2
176,sales,,0.592774535,6,,medium,0.486273484,4
253,sales,1,,3,,low,0.789109002,2
301,marketing,,0.945295235,7,,low,0.106041172,4
128,temp,1,,3,,low,,
250,sales,,0.885234243,4,,medium,0.89279394,5
225,management,,0.63612547,2,,high,0.646218186,10
137,engineering,,0.477614182,2,,low,0.35405999,3
301,admin,,0.817644107,6,,medium,0.131422998,5
160,sales,1,0.662863357,3,,low,0.951553887,4
139,support,,0.567776316,4,,low,0.570638107,5
148,support,,0.522356372,2,,low,0.463346335,3
142,engineering,,0.799384779,4,,high,0.964388216,10
211,sales,,0.980248573,3,,medium,0.885271063,2
187,management,,0.982548214,4,,high,0.594274557,3
180,support,,0.418026901,3,,medium,0.521306329,3
164,sales,,0.489007506,4,,medium,0.781747806,3
229,engineering,,0.481184412,2,1,medium,0.782570928,3
141,engineering,1,0.482330783,2,,low,0.462487794,3
137,engineering,,0.53716811,2,,medium,0.332289375,3
273,IT,,0.636294114,4,,high,0.721011294,2
160,support,1,0.558001512,4,,low,0.662181586,3
144,sales,,0.912074838,4,,medium,0.682774202,4
248,IT,,0.972243853,4,,medium,0.701733485,3
254,support,,0.951587252,3,,medium,0.831630879,2
242,finance,1,0.938605237,5,,medium,0.810500493,3
237,support,,,4,,medium,0.54174151,2
197,engineering,1,0.995858857,5,,low,0.895601626,5
309,support,,0.879657503,6,,medium,0.152330989,4
132,information_technology,,0.912954521,4,,medium,0.654930444,3
180,management,,0.662840714,3,,high,0.790952345,3
91,temp,1,,1,,medium,,
134,information_technology,,0.653821568,4,,high,1,3
213,IT,1,0.685943698,4,,low,0.976596695,2
254,sales,,0.882177689,5,,low,0.807106074,6
259,support,,0.982009704,4,,low,0.76614812,2
169,sales,1,0.536465381,4,,low,0.743075762,3
216,sales,,0.539265682,4,,high,1,2
155,support,,0.528239474,2,,low,0.386939727,3
252,IT,,0.838109205,4,,medium,0.646724819,3
125,temp,,,1,,medium,,
269,engineering,,0.782061535,5,,low,0.71013071,5
275,sales,,0.588523625,4,,medium,0.142557922,10
174,support,,0.979182838,3,,low,0.670985749,2
193,support,,0.600417857,4,,high,0.856058348,2
154,marketing,1,0.597488743,2,,medium,0.440593795,3
274,support,,0.783428441,4,,medium,0.949026329,3
166,IT,,0.805199793,3,,medium,0.54777745,3
227,sales,,0.698049599,3,,low,0.945948419,3
155,engineering,,0.43694265,5,,medium,0.367810638,3
256,support,,0.829495576,4,,medium,0.633173681,2
153,IT,,0.685256862,4,,high,0.77850584,3
142,IT,,0.491423228,5,,medium,0.432522428,4
238,engineering,,0.467572153,4,,medium,0.954695303,3
196,engineering,1,0.60783859,3,,low,0.68651113,3
153,sales,,0.594768679,4,,medium,0.798024311,3
263,management,,0.78990677,6,,high,0.250672213,7
168,engineering,,0.922257863,3,,low,0.932633439,3
261,IT,1,0.567285458,3,,medium,0.784352277,2
126,marketing,,0.810572021,2,,medium,0.171678821,5
219,marketing,,0.588703277,6,,low,0.115778869,6
211,sales,,0.784461935,4,,medium,0.773025274,4
207,sales,,0.817757662,3,,low,0.735170934,3
265,information_technology,,0.848173166,4,,low,0.921057496,5
243,IT,,,3,,medium,0.779926887,3
256,engineering,,1,4,,medium,0.856015669,3
226,IT,,,3,,high,0.739755544,2
278,procurement,,0.954464329,3,,medium,0.11087435,4
261,IT,,0.885075601,7,,medium,0.106249661,4
190,support,,0.695786815,6,,low,1,3
273,admin,1,0.609145273,3,,low,0.839132867,3
226,engineering,1,0.884667009,6,,high,0.166837815,3
113,engineering,,0.575479191,6,,medium,0.716542415,3
223,sales,1,0.601831089,3,,medium,0.76377184,2
266,IT,,0.671058487,6,,low,0.40218093,5
135,IT,,,3,,low,0.902144591,3
272,sales,,0.912667674,5,,medium,0.075538229,4
82,temp,,,2,,medium,,
194,sales,,0.768594418,4,,medium,0.749860975,8
204,sales,,0.739149607,3,,low,0.707794342,3
239,sales,,0.61266875,5,,medium,0.557909215,2
141,sales,,0.65920108,4,,low,0.34262655,2
219,engineering,,0.648730534,3,,low,0.937391871,2
199,management,,0.823806347,3,,medium,0.351166425,5
260,sales,,0.545817137,4,,low,0.469677592,6
268,sales,,0.76470784,3,,medium,0.842153571,2
102,IT,,1,4,,high,0.233486487,3
132,support,,0.497753624,2,,low,0.420411123,3
171,engineering,,0.67493988,5,,medium,0.99695848,3
228,marketing,,0.874830798,4,1,medium,0.584179336,3
63,temp,,,1,,medium,,
175,support,,0.874961501,2,,high,0.958863078,6
255,finance,1,,3,,low,0.504070357,2
274,product,,0.905542298,3,,medium,1,3
260,sales,,0.9828817,5,,low,0.946174028,5
153,engineering,1,0.786986847,3,,medium,0.795021966,3
273,IT,,0.606004288,4,,high,0.724905509,2
137,,,0.600601381,3,,medium,0.752317805,3
178,product,,0.636857505,4,,low,0.915925122,3
143,sales,,0.591368745,4,1,medium,0.758200746,2
159,sales,,0.442044823,2,,medium,0.425625213,3
272,sales,,0.935856579,7,,medium,0.111157708,4
188,sales,,0.749866394,2,,high,0.33275,2
246,sales,,0.770317268,3,,medium,0.776762107,3
153,finance,,0.892913354,4,,low,0.870130772,3
206,marketing,,0.465840997,3,,high,0.333647029,5
268,sales,,0.911260545,3,,low,0.552292971,2
215,support,,0.371144825,3,,low,0.808972136,6
139,support,,0.521864845,2,,low,0.418834085,3
242,sales,,0.539102681,5,,medium,0.736751618,2
149,support,,0.659331631,3,,low,0.685412961,3
232,engineering,,0.988180254,4,,medium,0.850939496,5
155,marketing,1,0.506963384,2,,medium,0.587701546,2
149,marketing,,0.549439412,4,1,medium,0.711644194,3
221,,,0.932125552,4,,low,0.754963569,4
161,support,1,0.932137927,5,,low,1,3
219,support,,0.650270995,5,,low,0.946262404,3
184,engineering,,0.859376869,4,,low,0.281067775,3
284,IT,,0.924974475,4,,low,0.342392944,4
218,IT,,0.76730498,4,,low,0.769658625,4
213,support,,0.771851582,6,,low,0.257691764,4
248,sales,,0.827758262,3,,medium,0.879261494,3
245,sales,,0.883626507,4,,low,0.754164698,6
189,procurement,,0.814411156,2,,low,0.550696424,2
255,engineering,,0.692307838,3,,medium,0.685000945,2
251,engineering,,0.940307627,4,,medium,0.839232063,3
213,support,,0.656614989,3,,low,0.782997718,2
255,product,,0.830525632,7,,medium,0.169772768,5
180,sales,,0.40011441,3,,medium,0.54924949,4
172,management,,0.915503333,3,,medium,0.651307273,3
145,engineering,,0.723333699,5,,medium,0.888195223,4
264,sales,,0.554282379,3,,low,0.974234252,3
163,sales,,0.876754784,2,,low,1,3
142,sales,1,0.451882796,2,,medium,0.942803603,3
257,support,,0.666819611,3,,low,0.878725707,3
273,product,,0.543496169,3,,high,0.910301878,3
232,sales,,1,3,,medium,0.164646576,5
220,,,0.54679291,3,,high,0.745816087,2
268,support,,1,6,,low,0.075875272,4
219,IT,,1,3,,low,0.561720158,4
166,product,1,,3,,low,0.790822766,2
214,sales,1,0.592348771,4,,medium,0.710681445,2
158,,,0.479882111,2,,low,0.322003973,3
185,product,,,2,,low,0.365187188,3
155,procurement,,0.918899193,3,,low,0.869239698,3
160,marketing,1,0.989476001,3,,low,0.672863161,4
200,IT,,0.604654334,4,,medium,0.370260044,4
136,sales,,0.588673948,2,,low,0.4383018,3
107,sales,,0.78136893,2,,high,0.475941794,4
224,sales,,0.995111591,5,,low,0.856404791,5
135,sales,,0.423420416,5,,medium,0.989077047,6
213,IT,1,0.693444452,4,,low,0.99313698,2
177,sales,,0.838452055,3,,high,0.641981655,4
147,engineering,,0.815546678,6,,medium,0.991870754,3
158,IT,,,5,,medium,0.709920666,3
237,finance,,0.899569992,5,,low,0.766833294,4
244,finance,,0.629207093,3,,low,0.704630437,3
206,finance,,0.66915147,5,,low,0.996646049,4
261,information_technology,,0.873792571,5,,medium,1,4
272,support,1,0.653311094,3,,medium,0.889603569,2
229,engineering,,0.92383107,5,,medium,0.761418318,5
164,engineering,,0.866633469,3,,high,0.803311684,3
266,sales,,0.713163066,5,,medium,0.751409824,4
262,IT,1,0.61502125,3,,low,0.663990664,2
169,finance,,0.397478455,6,,low,0.471727044,3
135,sales,,0.68193299,3,,medium,0.691527594,4
232,sales,,0.515614875,5,,medium,0.659173835,4
138,finance,1,0.4268409,2,,medium,0.404846589,3
206,sales,,0.544020728,5,,medium,0.150376108,5
190,management,,0.511096809,6,,low,0.768250909,4
162,management,,,2,,high,0.5958717,2
150,engineering,,0.974681173,3,,medium,0.663630768,2
164,support,,0.692451071,4,,low,0.855903667,4
178,support,,0.574133363,4,,medium,0.615342366,2
300,support,1,0.851856872,6,,low,0.060167883,5
294,,,0.534215151,3,,low,0.805619432,4
251,sales,,0.851940732,5,,medium,0.769121412,6
221,support,,0.501339327,5,,medium,0.639006793,3
223,sales,,0.830568684,5,,low,0.771373136,5
274,management,,0.623369172,5,,medium,0.63624916,3
250,finance,,0.720905913,3,,low,0.795412663,3
226,engineering,1,0.912883202,4,,medium,0.957931273,6
153,finance,,0.950553991,4,,medium,0.661676149,3
209,IT,,0.845506981,4,,medium,0.87300031,2
178,product,,0.632440268,4,,low,0.69926009,3
199,support,,0.672750149,4,,medium,1,4
142,support,,0.766165686,3,1,low,0.580260436,2
298,sales,,0.935763823,6,,low,0.150434921,4
266,IT,,0.520892735,3,,low,0.917492093,2
189,,1,,3,,medium,0.91755101,2
153,marketing,,,3,,medium,0.664416969,2
255,support,,0.523046227,4,,low,1,2
191,support,,0.928951515,5,,high,0.33264107,3
140,sales,,0.620942529,4,,low,0.631374261,2
251,sales,,0.826128584,4,,medium,0.867218456,3
240,procurement,,0.921801916,4,,medium,0.481959402,2
268,marketing,,0.906717264,4,,medium,1,2
249,marketing,,0.869188698,4,,low,0.875365924,6
138,support,,0.499259069,2,,low,0.393185357,3
259,support,,0.854262529,5,,low,0.969137236,5
144,sales,,,2,,low,0.360995022,3
173,sales,,,6,,medium,0.460296418,3
296,sales,,0.83805287,7,,low,0.06173519,4
132,sales,,0.914675727,3,,medium,0.741089924,2
187,sales,1,0.56911136,4,,medium,0.534678746,4
178,marketing,,0.489339292,4,,medium,0.714885612,2
163,IT,,0.679862948,6,,high,0.692371602,4
178,information_technology,1,0.515509188,3,,low,0.663485173,3
218,finance,,0.473856719,6,,low,0.281177019,4
248,IT,,0.57903196,4,,low,0.611172997,4
255,sales,,0.982736933,5,,low,0.874852056,6
216,sales,,1,4,,low,0.715136379,3
269,sales,,0.748036202,4,,medium,0.900123135,4
156,product,,0.573059079,2,,medium,0.411334527,3
237,procurement,1,0.91238429,3,,medium,0.601641862,3
256,engineering,,0.790033975,5,,low,0.766051821,2
230,support,,0.722920854,5,,low,0.732202918,3
270,sales,,0.683513344,4,,high,0.185019733,2
250,support,,0.788487079,6,,low,0.100073718,4
153,sales,1,0.868064211,5,,medium,0.120935241,5
113,marketing,,,3,,high,0.469505268,3
214,sales,,0.869835218,4,,medium,0.271631344,5
246,,,0.818234365,6,,medium,0.051005174,4
286,sales,,0.820696806,6,,low,0.066098975,4
171,engineering,,0.746690844,2,,medium,0.630488545,2
229,sales,1,,5,,medium,0.769308782,2
257,IT,,0.988009399,5,,high,0.763414841,5
135,support,,0.421112993,2,,low,0.367451075,3
199,sales,,0.73473373,3,,low,0.592510032,4
266,support,,0.874138123,4,,low,0.845699856,3
132,temp,,,1,,medium,,
244,engineering,,0.791402011,6,,medium,0.104537606,4
145,,,0.57731288,4,,low,0.69510315,4
201,sales,,,3,,medium,0.609574976,3
133,,,0.511839957,2,,medium,0.348899787,3
160,support,,0.579675078,2,,low,0.476083297,3
260,information_technology,,0.645661434,3,,high,0.809395351,4
178,sales,,0.482854059,4,,medium,0.477099632,3
215,finance,,0.708219253,4,,low,0.731253762,3
128,support,,0.685462252,2,,medium,0.44462632,2
153,engineering,1,0.504965094,2,,medium,0.505671054,3
127,IT,,0.428599902,4,,low,0.369892081,3
268,sales,,1,4,,medium,0.776657994,5
212,sales,,0.609384376,6,,medium,0.233682321,4
121,procurement,,0.72911855,3,,low,0.766960559,5
171,IT,,0.58539794,4,,medium,0.115648183,6
152,sales,1,0.736761282,4,,medium,0.624577708,3
225,sales,,,3,,low,0.803100889,2
237,product,,0.858986522,3,,medium,0.948100549,2
140,sales,,0.491932593,2,,low,0.4596736,3
224,sales,,0.586232257,3,,medium,0.746300723,2
284,sales,,0.983081158,6,,low,0.105775378,4
222,product,,0.455337304,2,,high,0.636940751,4
238,engineering,,0.740770815,3,,medium,0.238686301,8
199,sales,,0.574490806,5,,low,0.287895399,4
254,sales,1,,4,,medium,0.949000824,3
97,sales,,,4,,high,0.39711048,2
224,support,,0.658881609,4,,low,0.681642471,3
152,engineering,,0.5073222,2,,low,0.42922818,3
196,sales,,0.432945776,5,,low,0.807949917,4
168,product,,0.900468711,4,,medium,0.628612167,2
219,management,,,4,,medium,0.770571728,3
142,support,,0.897356101,3,,medium,0.658753804,3
177,,,0.871594494,3,,medium,0.777180015,4
149,sales,1,0.500707394,2,,low,0.892877716,2
261,sales,1,1,4,,low,0.950623247,10
170,IT,,0.939137724,3,,high,0.664814124,3
134,sales,,,3,,medium,0.624634343,2
183,marketing,,1,4,,low,0.76738836,2
306,IT,,0.843286647,6,,low,0.105193722,4
139,IT,1,0.465272001,2,,medium,0.449588945,3
147,engineering,1,0.554425252,3,,medium,0.814803547,3
136,marketing,,0.480502242,2,,low,0.372625452,3
178,information_technology,,1,6,,low,0.847861416,5
156,engineering,,0.518708441,2,,low,0.378368537,3
169,support,1,0.385090846,3,,medium,0.462561677,3
144,product,,0.895747557,6,,low,0.198837916,4
248,IT,,0.729150086,5,,low,0.922728322,2
140,support,1,0.612020367,4,,low,1,2
267,management,,0.792522449,3,,high,0.540700911,2
162,engineering,,0.612114533,4,,low,0.798103847,3
271,sales,,0.713207513,6,,medium,0.266585573,10
230,support,,0.49290403,3,,medium,0.898326169,3
267,engineering,,0.920544403,5,,low,0.763133829,5
140,support,,,3,,medium,0.954940546,2
135,product,,0.511233391,2,,low,0.34875806,3
273,engineering,,0.721757329,4,,low,0.913534963,2
97,management,,0.914496763,4,,low,0.343779629,6
145,IT,,0.515281774,2,,low,0.448785305,3
163,sales,,0.766392883,4,,low,1,2
194,engineering,,,3,,medium,0.502188796,3
193,sales,,,3,,low,0.927236685,3
271,,,0.594910487,3,,medium,0.936025405,2
246,sales,,1,5,,low,0.866937701,5
160,finance,,0.537002675,2,,low,0.43015261,3
223,sales,,0.667185635,4,,medium,0.544789479,3
177,support,1,0.651917146,4,,low,0.851567466,4
223,sales,,0.721506078,3,,low,0.964424325,2
186,engineering,,0.851781984,3,,low,0.770252,4
229,admin,,0.853107732,3,,medium,0.418412164,6
227,,,0.653872888,3,,medium,0.812625503,3
250,sales,1,,5,,medium,0.817923778,3
181,sales,,0.644272917,3,,low,0.688686307,3
133,sales,,0.727579684,5,,high,0.739627323,2
128,IT,,0.544767818,2,1,medium,0.395525116,3
264,marketing,,0.906319255,3,,low,0.870453473,2
163,information_technology,1,0.693507531,4,,low,0.568630808,3
194,engineering,,0.871134849,4,,medium,0.513206377,3
249,marketing,,0.398466807,2,,low,0.252466167,3
155,product,,0.516756936,2,,low,0.528435063,3
220,sales,,0.775490457,5,,medium,0.881489016,6
262,IT,,0.785664959,6,,low,0.160489527,5
172,marketing,,0.659277891,3,1,high,0.321884237,10
226,procurement,,0.846918314,3,,low,0.538326771,3
246,support,,0.356003205,5,,medium,0.444078334,3
265,sales,1,0.837425942,4,,low,0.549159436,3
240,sales,,0.960459199,5,,low,0.950640322,5
153,engineering,,0.646737457,5,,medium,0.598436932,6
223,support,,0.839596894,4,,medium,1,3
164,support,,0.80087132,2,,low,0.517799037,5
160,engineering,,0.558957701,2,,low,0.437240567,3
98,information_technology,1,0.360472348,3,,low,0.296064961,3
226,admin,,0.868153185,2,,low,0.582168971,3
231,IT,,0.824635902,5,,low,0.834741695,5
226,IT,,0.850785758,6,,high,0.192082753,4
218,procurement,,0.606065496,3,,medium,0.662801071,4
207,sales,,0.838241027,4,,low,0.794041197,10
245,product,,,2,,low,0.473023493,3
123,engineering,1,0.50258697,3,,low,0.876067204,5
257,engineering,,0.791329607,5,,medium,0.695503879,5
277,product,,0.997289833,6,,medium,0.115963758,4
126,support,1,0.790968794,3,,low,0.852342216,10
134,engineering,,0.631114297,3,,medium,0.819146844,3
191,engineering,1,0.621393868,5,,high,0.562950452,2
171,sales,,0.918365537,4,,medium,0.509335397,2
171,engineering,,0.8043869,4,,low,0.602182426,4
136,engineering,,0.874453855,4,,medium,0.817026912,4
248,management,,0.896265367,4,,low,0.300066328,4
253,product,,0.922094285,5,,low,0.72597218,5
224,,,,3,,medium,0.458364566,3
133,engineering,,0.554436893,2,,medium,0.355038632,3
221,admin,,0.765421552,3,,high,0.769136253,3
256,marketing,,0.989654156,7,,medium,0.058059197,4
259,management,,0.923156642,6,,high,0.445718334,4
161,,,0.732022642,4,,low,0.795743331,3
278,engineering,,0.648084688,4,,low,0.150064211,6
190,marketing,,0.886306241,4,,low,1,2
223,IT,,,4,,low,0.759192438,3
206,procurement,,0.935696495,3,,medium,0.366712749,3
151,,,0.46625181,2,,low,0.455813551,3
224,sales,,0.87800721,4,,medium,0.578596736,10
231,,,0.616543902,3,,medium,0.943791353,3
160,product,,,2,,low,0.434569675,3
262,product,,1,5,,medium,0.682626798,5
127,sales,,0.55690755,2,,medium,0.331997293,3
123,product,,,5,,low,0.628235512,2
248,marketing,,0.618621213,4,,high,0.540848846,4
128,sales,,0.42637483,2,,medium,0.368240968,3
177,sales,,0.951901617,5,,low,0.285029969,5
262,product,,0.991719289,5,,medium,0.681415911,5
181,sales,,0.788531478,5,,medium,0.490723247,2
246,IT,,0.846058464,4,,low,0.839581453,6
250,support,,0.938601261,5,,low,0.91132936,6
156,support,,0.457022227,4,,medium,0.688453062,2
195,engineering,,0.827445373,4,,low,0.67540527,2
264,engineering,,0.919342305,6,,medium,0.060474683,4
73,temp,1,,2,,low,,
284,engineering,,0.962703398,7,,low,0.152779166,4
143,sales,,0.954285149,3,,low,0.681703103,4
172,finance,,0.762616158,5,,low,0.680101571,3
245,engineering,,0.731227598,4,,medium,0.55729017,4
244,management,,0.579944675,4,,high,0.769497339,3
138,engineering,,0.949403554,6,,low,0.158618691,3
162,sales,,0.663554522,2,,low,0.864998473,3
245,marketing,,0.860436029,3,,low,0.670340444,2
218,sales,,0.873673085,4,,medium,0.994334442,2
238,sales,,,4,,low,0.691962621,3
231,sales,,0.681520614,5,1,high,0.934522516,7
269,sales,,0.959237604,5,,medium,0.907125365,6
136,IT,,,6,,low,0.693071911,3
192,finance,1,0.681857725,3,,medium,0.620586642,3
158,procurement,1,0.750537893,4,,medium,0.76257047,5
150,engineering,,,3,,low,0.692246195,2
282,support,,0.924894311,6,,low,0.065297059,4
199,IT,1,0.610967471,5,,high,1,2
258,engineering,,0.921406066,5,,high,0.642917727,3
301,sales,,0.919231207,6,,medium,0.137455525,4
128,finance,,,2,,low,0.337438136,3
131,sales,,0.919640504,5,,low,0.355329025,6
199,sales,,0.5318219,5,,low,0.18959578,5
260,sales,,0.939779578,6,,low,0.078057536,5
238,finance,,0.556052077,4,,medium,0.277812639,2
151,support,,,2,,low,0.412308432,3
158,sales,,,2,,low,0.450426371,3
176,sales,,0.834492315,4,,low,0.949242158,2
258,engineering,,,4,,medium,0.855402396,3
227,finance,,0.811197417,4,,low,0.908599651,5
134,marketing,,0.528976124,4,,low,0.418846169,3
254,sales,,0.519985947,4,,low,0.501274962,4
185,engineering,,0.914600598,5,,low,0.978230584,5
175,IT,,0.852782718,3,,low,0.659058062,3
267,engineering,,0.875229642,4,,low,0.713844419,2
261,engineering,,0.517854043,3,,low,0.53397225,3
274,finance,,0.478379923,5,,low,0.845868494,3
140,support,1,0.75234471,2,,low,0.529682467,3
257,engineering,,0.930765827,5,,low,0.978876112,5
131,,,0.490487949,2,,low,0.353617009,3
232,sales,,0.939296933,5,,low,0.764945485,5
161,sales,,0.688251271,4,,medium,0.530673995,3
